Athlete,Age,Country,Year,Closing Ceremony Date,Sport,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Olga Brusnikina,21,Russia,2000,10/1/00,Synchronized Swimming,2,0,0,2
Mariya Kiselyova,25,Russia,2000,10/1/00,Synchronized Swimming,2,0,0,2
Miya Tachibana,25,Japan,2000,10/1/00,Synchronized Swimming,0,2,0,2
Miho Takeda,24,Japan,2000,10/1/00,Synchronized Swimming,0,2,0,2
Becky Adlington,23,Great Britain,2012,8/12/12,Swimming,0,0,2,2
Bronte Barratt,23,Australia,2012,8/12/12,Swimming,0,1,1,2
Elizabeth Beisel,19,United States,2012,8/12/12,Swimming,0,1,1,2
Mireia Belmonte,21,Spain,2012,8/12/12,Swimming,0,2,0,2
Ricky Berens,24,United States,2012,8/12/12,Swimming,1,1,0,2
Aleksandra Gerasimenya,26,Belarus,2012,8/12/12,Swimming,0,2,0,2
Brendan Hansen,30,United States,2012,8/12/12,Swimming,1,0,1,2
Jessica Hardy,25,United States,2012,8/12/12,Swimming,1,0,1,2
Chad le Clos,20,South Africa,2012,8/12/12,Swimming,1,1,0,2
ClÇment Lefert,24,France,2012,8/12/12,Swimming,1,1,0,2
Amaury Leveaux,26,France,2012,8/12/12,Swimming,1,1,0,2
James Magnussen,21,Australia,2012,8/12/12,Swimming,0,1,1,2
Takeshi Matsuda,28,Japan,2012,8/12/12,Swimming,0,1,1,2
Oussama Mellouli,28,Tunisia,2012,8/12/12,Swimming,1,0,1,2
Park Tae-Hwan,22,South Korea,2012,8/12/12,Swimming,0,2,0,2
Christian Sprenger,26,Australia,2012,8/12/12,Swimming,0,1,1,2
Jeremy Stravius,24,France,2012,8/12/12,Swimming,1,1,0,2
Aya Terakawa,27,Japan,2012,8/12/12,Swimming,0,0,2,2
Nick Thoman,26,United States,2012,8/12/12,Swimming,1,1,0,2
Marleen Veldhuis,33,Netherlands,2012,8/12/12,Swimming,0,1,1,2
Ye Shiwen,16,China,2012,8/12/12,Swimming,2,0,0,2
Becky Adlington,19,Great Britain,2008,8/24/08,Swimming,2,0,0,2
Leith Brodie,22,Australia,2008,8/24/08,Swimming,0,0,2,2
Cate Campbell,16,Australia,2008,8/24/08,Swimming,0,0,2,2
CÇsar Cielo Filho,21,Brazil,2008,8/24/08,Swimming,1,0,1,2
Hugues Duboscq,26,France,2008,8/24/08,Swimming,0,0,2,2
Felicity Galvez,23,Australia,2008,8/24/08,Swimming,2,0,0,2
Grant Hackett,28,Australia,2008,8/24/08,Swimming,0,1,1,2
Kara Lynn Joyce,22,United States,2008,8/24/08,Swimming,0,2,0,2
Amaury Leveaux,22,France,2008,8/24/08,Swimming,0,2,0,2
Christine Magnuson,22,United States,2008,8/24/08,Swimming,0,2,0,2
Patrick Murphy,24,Australia,2008,8/24/08,Swimming,0,0,2,2
Park Tae-Hwan,18,South Korea,2008,8/24/08,Swimming,1,1,0,2
Shayne Reese,25,Australia,2008,8/24/08,Swimming,1,0,1,2
Brenton Rickard,24,Australia,2008,8/24/08,Swimming,0,2,0,2
Mel Schlanger,21,Australia,2008,8/24/08,Swimming,1,0,1,2
Julia Smit,20,United States,2008,8/24/08,Swimming,0,1,1,2
Britta Steffen,24,Germany,2008,8/24/08,Swimming,2,0,0,2
Hayden Stoeckel,24,Australia,2008,8/24/08,Swimming,0,1,1,2
Matt Targett,22,Australia,2008,8/24/08,Swimming,0,1,1,2
Peter Vanderkaay,24,United States,2008,8/24/08,Swimming,1,0,1,2
Arkady Vyachanin,24,Russia,2008,8/24/08,Swimming,0,0,2,2
Garrett Weber-Gale,23,United States,2008,8/24/08,Swimming,2,0,0,2
Lindsay Benko,27,United States,2004,8/29/04,Swimming,1,1,0,2
Gary Hall Jr.,29,United States,2004,8/29/04,Swimming,1,0,1,2
Brooke Hanson,26,Australia,2004,8/29/04,Swimming,1,1,0,2
Kara Lynn Joyce,18,United States,2004,8/29/04,Swimming,0,2,0,2
Klete Keller,22,United States,2004,8/29/04,Swimming,1,0,1,2
Yana Klochkova,22,Ukraine,2004,8/29/04,Swimming,2,0,0,2
Rachel Komisarz,27,United States,2004,8/29/04,Swimming,1,1,0,2
Libby Lenton-Trickett,19,Australia,2004,8/29/04,Swimming,1,0,1,2
Jason Lezak,28,United States,2004,8/29/04,Swimming,1,0,1,2
Ryan Lochte,20,United States,2004,8/29/04,Swimming,1,1,0,2
Alice Mills,18,Australia,2004,8/29/04,Swimming,2,0,0,2
Tomomi Morita,19,Japan,2004,8/29/04,Swimming,0,0,2,2
Markus Rogan,22,Austria,2004,8/29/04,Swimming,0,2,0,2
Jenny Thompson,31,United States,2004,8/29/04,Swimming,0,2,0,2
Franziska van Almsick,26,Germany,2004,8/29/04,Swimming,0,0,2,2
Neil Walker,28,United States,2004,8/29/04,Swimming,1,0,1,2
Amanda Weir,18,United States,2004,8/29/04,Swimming,0,2,0,2
Takashi Yamamoto,26,Japan,2004,8/29/04,Swimming,0,1,1,2
Brooke Bennett,20,United States,2000,10/1/00,Swimming,2,0,0,2
Beatrice Coada-Caslaru,25,Romania,2000,10/1/00,Swimming,0,1,1,2
Josh Davis,28,United States,2000,10/1/00,Swimming,0,2,0,2
Tom Dolan,25,United States,2000,10/1/00,Swimming,1,1,0,2
Anthony Ervin,19,United States,2000,10/1/00,Swimming,1,1,0,2
Domenico Fioravanti,23,Italy,2000,10/1/00,Swimming,2,0,0,2
Grant Hackett,20,Australia,2000,10/1/00,Swimming,2,0,0,2
Geoff Huegill,21,Australia,2000,10/1/00,Swimming,0,1,1,2
Leisel Jones,15,Australia,2000,10/1/00,Swimming,0,2,0,2
Klete Keller,18,United States,2000,10/1/00,Swimming,0,1,1,2
Jason Lezak,24,United States,2000,10/1/00,Swimming,1,1,0,2
Diana Mocanu,16,Romania,2000,10/1/00,Swimming,2,0,0,2
Martina Moravcov†,24,Slovakia,2000,10/1/00,Swimming,0,2,0,2
Ed Moses,20,United States,2000,10/1/00,Swimming,1,1,0,2
Diana Munz,18,United States,2000,10/1/00,Swimming,1,1,0,2
Mai Nakamura,21,Japan,2000,10/1/00,Swimming,0,1,1,2
Todd Pearson,22,Australia,2000,10/1/00,Swimming,2,0,0,2
Adam Pine,24,Australia,2000,10/1/00,Swimming,1,1,0,2
Claudia Poll,27,Costa Rica,2000,10/1/00,Swimming,0,0,2,2
Megan Quann-Jendrick,16,United States,2000,10/1/00,Swimming,2,0,0,2
Giaan Rooney,17,Australia,2000,10/1/00,Swimming,0,2,0,2
Courtney Shealy,22,United States,2000,10/1/00,Swimming,2,0,0,2
Ashley Tappin,25,United States,2000,10/1/00,Swimming,2,0,0,2
Stev Theloke,22,Germany,2000,10/1/00,Swimming,0,0,2,2
Amy Van Dyken,27,United States,2000,10/1/00,Swimming,2,0,0,2
Neil Walker,24,United States,2000,10/1/00,Swimming,1,1,0,2
J. R. Celski,19,United States,2010,2/28/10,Short-Track Speed Skating,0,0,2,2
Charles Hamelin,25,Canada,2010,2/28/10,Short-Track Speed Skating,2,0,0,2
Lee Ho-Seok,23,South Korea,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
Park Seung-Hui,17,South Korea,2010,2/28/10,Short-Track Speed Skating,0,0,2,2
Katherine Reutter,21,United States,2010,2/28/10,Short-Track Speed Skating,0,1,1,2
Seong Si-Baek,22,South Korea,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
Marianne St-Gelais,19,Canada,2010,2/28/10,Short-Track Speed Skating,0,2,0,2
Franáois-Louis Tremblay,29,Canada,2010,2/28/10,Short-Track Speed Skating,1,0,1,2
Zhou Yang,18,China,2010,2/28/10,Short-Track Speed Skating,2,0,0,2
Choi Eun-Gyeong,21,South Korea,2006,2/26/06,Short-Track Speed Skating,1,1,0,2
Anouk Leblanc-Boucher,21,Canada,2006,2/26/06,Short-Track Speed Skating,0,1,1,2
Franáois-Louis Tremblay,25,Canada,2006,2/26/06,Short-Track Speed Skating,0,2,0,2
Choi Eun-Gyeong,17,South Korea,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Go Gi-Hyeon,15,South Korea,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Jonathan Guilmette,23,Canada,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Li Jiajun,26,China,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Apolo Anton Ohno,19,United States,2002,2/24/02,Short-Track Speed Skating,1,1,0,2
Evgeniya Radanova,24,Bulgaria,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Mathieu Turcotte,25,Canada,2002,2/24/02,Short-Track Speed Skating,1,0,1,2
Wang Chunlu,23,China,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Yang Yang (S),24,China,2002,2/24/02,Short-Track Speed Skating,0,1,1,2
Shani Davis,27,United States,2010,2/28/10,Speed Skating,1,1,0,2
Kristina Groves,33,Canada,2010,2/28/10,Speed Skating,0,1,1,2
Chad Hedrick,32,United States,2010,2/28/10,Speed Skating,0,1,1,2
Sven Kramer,23,Netherlands,2010,2/28/10,Speed Skating,1,0,1,2
Lee Seung-Hun,21,South Korea,2010,2/28/10,Speed Skating,1,1,0,2
Mo Tae-Beom,21,South Korea,2010,2/28/10,Speed Skating,1,1,0,2
Ivan Skobrev,27,Russia,2010,2/28/10,Speed Skating,0,1,1,2
Mark Tuitert,29,Netherlands,2010,2/28/10,Speed Skating,1,0,1,2
Joey Cheek,26,United States,2006,2/26/06,Speed Skating,1,1,0,2
Shani Davis,23,United States,2006,2/26/06,Speed Skating,1,1,0,2
Anni Friesinger-Postma,29,Germany,2006,2/26/06,Speed Skating,1,0,1,2
Kristina Groves,29,Canada,2006,2/26/06,Speed Skating,0,2,0,2
Clara Hughes,33,Canada,2006,2/26/06,Speed Skating,1,1,0,2
Sven Kramer,19,Netherlands,2006,2/26/06,Speed Skating,0,1,1,2
Claudia Pechstein,33,Germany,2006,2/26/06,Speed Skating,1,1,0,2
Carl Verheijen,30,Netherlands,2006,2/26/06,Speed Skating,0,0,2,2
Erben Wennemars,30,Netherlands,2006,2/26/06,Speed Skating,0,0,2,2
Ireen WÅst,19,Netherlands,2006,2/26/06,Speed Skating,1,0,1,2
Derek Parra,31,United States,2002,2/24/02,Speed Skating,1,1,0,2
Claudia Pechstein,29,Germany,2002,2/24/02,Speed Skating,2,0,0,2
Jennifer Rodriguez,25,United States,2002,2/24/02,Speed Skating,0,0,2,2
Simon Ammann,28,Switzerland,2010,2/28/10,Ski Jumping,2,0,0,2
Adam Malysz,32,Poland,2010,2/28/10,Ski Jumping,0,2,0,2
Matti HautamÑki,24,Finland,2006,2/26/06,Ski Jumping,0,2,0,2
Andreas Kofler,21,Austria,2006,2/26/06,Ski Jumping,1,1,0,2
Roar Ljõkelsõy,29,Norway,2006,2/26/06,Ski Jumping,0,0,2,2
Thomas Morgenstern,19,Austria,2006,2/26/06,Ski Jumping,2,0,0,2
Simon Ammann,20,Switzerland,2002,2/24/02,Ski Jumping,2,0,0,2
Sven Hannawald,27,Germany,2002,2/24/02,Ski Jumping,1,1,0,2
Matti HautamÑki,20,Finland,2002,2/24/02,Ski Jumping,0,1,1,2
Adam Malysz,24,Poland,2002,2/24/02,Ski Jumping,0,1,1,2
Niccolï Campriani,24,Italy,2012,8/12/12,Shooting,1,1,0,2
Jin Jong-O,32,South Korea,2012,8/12/12,Shooting,2,0,0,2
Olena Kostevych,27,Ukraine,2012,8/12/12,Shooting,0,0,2,2
Jin Jong-O,28,South Korea,2008,8/24/08,Shooting,1,1,0,2
Katerina Kurkov†-Emmons,24,Czech Republic,2008,8/24/08,Shooting,1,1,0,2
Lyubov Galkina,31,Russia,2004,8/29/04,Shooting,1,1,0,2
Mariya Grozdeva,32,Bulgaria,2004,8/29/04,Shooting,1,0,1,2
Lee Bo-Na,23,South Korea,2004,8/29/04,Shooting,0,1,1,2
Mikhail Nestruyev,35,Russia,2004,8/29/04,Shooting,1,1,0,2
Igor Basinsky,37,Belarus,2000,10/1/00,Shooting,0,1,1,2
Tao Luna,26,China,2000,10/1/00,Shooting,1,1,0,2
Kim Crow,26,Australia,2012,8/12/12,Rowing,0,1,1,2
Georgeta Damian-Andrunache,32,Romania,2008,8/24/08,Rowing,1,0,1,2
Viorica Susanu,32,Romania,2008,8/24/08,Rowing,1,0,1,2
Georgeta Damian-Andrunache,28,Romania,2004,8/29/04,Rowing,2,0,0,2
Viorica Susanu,28,Romania,2004,8/29/04,Rowing,2,0,0,2
Georgeta Damian-Andrunache,24,Romania,2000,10/1/00,Rowing,2,0,0,2
